2021-03-16 11:00:33 DEBUG request log not activated
2021-03-16 11:00:33 DEBUG response log not activated
2021-03-16 11:00:33 INFO  Dynatrace Monitoring as Code v1.5.0
2021-03-16 11:00:33 DEBUG Reading projects...
2021-03-16 11:00:33 DEBUG   project - nonprod-project
2021-03-16 11:00:33 DEBUG Processing file: nonprod-project/calculated-metrics-service/calculated-metrics-service.yaml
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftprobateperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftevidencemanagementstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdcasecontrollergetcaserequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/amretrieveRoleAssignmentsByActorIdrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdapigatewaycaseworkerjurisdictionsrequestcountfa
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdremoveCaseUserRolesRequestCount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftprobatestg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdcasedefdivorcerequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdapigatewaybenefitcasesrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdgetcaseuserrolesrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdcasecontrollercreatecaserequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdstarteventforcitizenrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftidamstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftevidencemanagementstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdgetcaseviewrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdseachcasesrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccddatastoreinsertintocasedatarequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/fplhandleabouttosubmiteventrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftevidencemanagementperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdcasedefdivorcerequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-crimeidamnft
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/dmstorecreatetemplaterenditionrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftbulkscanstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/fplhandlesubmittedeventrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftxuistg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftimmigrationandasylumstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftbulkscanperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftprobatestg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftcivilunspecstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftbulkprintperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/calcservicecalcserviceccdapigatewayactivitycasesre
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/fplhandleabouttosubmiteventrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdapigatewayoauth2requestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdhealthlivenessrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdapigatewayinternalsearchcasesrequestcountsucces
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-crimecpmdv
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftpcqperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftldata
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccddefstoreapijurisdictionsrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdgetjurisdictionsrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdsearchcasesforcitizensrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdcreatecaseeventforcaseworkerrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftfamilypubliclawstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdapigatewayinternalsearchcasesrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdcasecontrollercasesbyidrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-crimecpnft
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftbulkprintstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdgetcaseviewrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftfeespaymentsperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/div-case-allowshareacase
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/fplhandleabouttosubmiteventrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/amcreateroleassignmentrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftsscsperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/amretrieveroleassignmentsbyactoridrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/rpegetletterstatusrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/calcservicecalcservicedivcaseallowshareacasesfaile
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftfamilypubliclawstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftdivorceperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftdivorcestg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/idamhealthrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/calcserviceccdapigatewayactivitycasesrequestcountf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdapigatewayoauth2requestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-dtscvpstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftidamsbox
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftpalononprodldataperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdcasecontrollercreatecaserequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdcasecontrollergetcaserequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/idamhealthlivenessrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdstarteventforcitizenrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdhealthrequestcount
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftsscsperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftsscsstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/calcservicecalcservicecalcserviceccdremovecaseuser
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccddefstoreapijurisdictionsrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftldata
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftforgerockstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftevidencemanagementperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftcivilmoneyclaimsstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/calcserviceccdremovecaseuserrolesrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccddefstoreapijurisdictionsrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdapigatewaycaseactivitybyidrequestcountsuccess
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/dmstorecreatetemplaterenditionrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-dtscvpstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftxuistg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftforgerockstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftfeespaymentsstg
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/calcserviceccdhealthreadinessrequestcountfail
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/ccdapigatewayvalidatefinremcontestedrequestcountsu
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftpcqperf
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainin-cftlegalrepcmcunspec
2021-03-16 11:00:33 DEBUG 		nonprod-project/calculated-metrics-service/SSLDomainout-cftecmperf
