2021-03-31 21:41:37 DEBUG request log not activated
2021-03-31 21:41:37 DEBUG response log not activated
2021-03-31 21:41:37 INFO  Dynatrace Monitoring as Code v1.5.0
2021-03-31 21:41:37 DEBUG Reading projects...
2021-03-31 21:41:37 DEBUG   project - apimgmt
2021-03-31 21:41:37 DEBUG   project - config/.logs
2021-03-31 21:41:37 DEBUG   project - config/nonprod
2021-03-31 21:41:37 DEBUG Processing file: config/nonprod/calculated-metrics-service/calculated-metrics-service.yaml
2021-03-31 21:41:37 DEBUG Processing file: config/nonprod/management-zone/management-zone.yaml
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftbulkprintperf has dep on config/nonprod/management-zone/CFT-Bulkprint-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftbulkprintperf has dep on config/nonprod/management-zone/CFT-Bulkprint-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftaccessmanagementperf has dep on config/nonprod/management-zone/CFT-AccessManagement-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftaccessmanagementperf has dep on config/nonprod/management-zone/CFT-AccessManagement-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftprofessionalreferencedataestg has dep on config/nonprod/management-zone/CFT-ProfessionalReferenceData-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftprofessionalreferencedataestg has dep on config/nonprod/management-zone/CFT-ProfessionalReferenceData-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftsscsstg has dep on config/nonprod/management-zone/CFT-SSCS-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftsscsstg has dep on config/nonprod/management-zone/CFT-SSCS-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftxuiperf has dep on config/nonprod/management-zone/CFT-XUI-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftxuiperf has dep on config/nonprod/management-zone/CFT-XUI-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftfinancialremedyperf has dep on config/nonprod/management-zone/CFT-FinancialRemedy-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftfinancialremedyperf has dep on config/nonprod/management-zone/CFT-FinancialRemedy-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftbulkprintstg has dep on config/nonprod/management-zone/CFT-Bulkprint-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftbulkprintstg has dep on config/nonprod/management-zone/CFT-Bulkprint-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftsscsperf has dep on config/nonprod/management-zone/CFT-SSCS-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftsscsperf has dep on config/nonprod/management-zone/CFT-SSCS-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftecmstg has dep on config/nonprod/management-zone/CFT-ECM-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftecmstg has dep on config/nonprod/management-zone/CFT-ECM-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftfinancialremedystg has dep on config/nonprod/management-zone/CFT-FinancialRemedy-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftfinancialremedystg has dep on config/nonprod/management-zone/CFT-FinancialRemedy-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftbulkscanperf has dep on config/nonprod/management-zone/CFT-BulkScan-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftbulkscanperf has dep on config/nonprod/management-zone/CFT-BulkScan-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainout-cftxuistg has dep on config/nonprod/management-zone/CFT-XUI-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/calculated-metrics-service/SSLDomainin-cftxuistg has dep on config/nonprod/management-zone/CFT-XUI-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-ProfessionalReferenceData-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-IDAM-Sandbox
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-Divorce-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-Bulkprint-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-AccessManagement-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-PCQ-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-Forgerock-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-FamilyPublicLaw-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-Elasticsearch-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-ECM-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-BulkScan-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-FeesPayments-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-SSCS-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-XUI-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-XUI-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-SSCS-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-ProfessionalReferenceData-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-Elasticsearch-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-AccessManagement-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-Probate-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-LDATA
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-FinancialRemedy-Staging
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-EvidenceManagement-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-ECM-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-Divorce-Perf
2021-03-31 21:41:37 DEBUG 		config/nonprod/management-zone/CFT-CCD-Perf
